Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_1,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_1,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_1,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_1,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_1,Tranche_0,Tranche_0,Tranche_0,Tranche_0,Tranche_0
Tranche_1,Tranche_2,Tranche_1,Tranche_0,Tranche_0,Tranche_1
