post_id,username,user_id,text,post_text,time,likes,comments,shares,reactions,image,images,link,post_url,available
3100603303483062,,61576739858440,"Ocarina of Time paradox
#zelda","Ocarina of Time paradox
#zelda",2026-06-10 02:32:12,33,10,3,"{""j’aime"": 25, ""j’adore"": 5, ""solidaire"": 1, ""wouah"": 1, ""en colère"": 1}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/714183918_1706226437072265_2872582820059746175_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=104&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeGCm1KeRPoX01W4bySspjye9CBrDp7hzdr0IGsOnuHN2sAYrEkkH6D_2nGVUzTMbMZBMSoUa5jZs1cvQv4Rj-dZ&_nc_ohc=lU7z_Ik3JokQ7kNvwEvQDHZ&_nc_oc=Adq89w5Uge12w9ThnEe-wPzNcySHON-3LhI-L1_z-5SIkOt5KO0VNvfJAcg_4JQ3sjw&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af-U2l443Q8Xrmx7VvFE7LKnge9C1Qf0jpG85FzU57xazA&oe=6A2F085F,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/714183918_1706226437072265_2872582820059746175_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=104&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeGCm1KeRPoX01W4bySspjye9CBrDp7hzdr0IGsOnuHN2sAYrEkkH6D_2nGVUzTMbMZBMSoUa5jZs1cvQv4Rj-dZ&_nc_ohc=lU7z_Ik3JokQ7kNvwEvQDHZ&_nc_oc=Adq89w5Uge12w9ThnEe-wPzNcySHON-3LhI-L1_z-5SIkOt5KO0VNvfJAcg_4JQ3sjw&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af-U2l443Q8Xrmx7VvFE7LKnge9C1Qf0jpG85FzU57xazA&oe=6A2F085F""]",https://www.facebook.com/groups/246362025573885/permalink/3100603303483062/,https://www.facebook.com/61576739858440/posts/3100603303483062,True
1524702519106815,,100047012445726,"Three generations. One legendary adventure. 💚

🎮 N64 (1998)
🎮 3DS (2011)
🎮 Switch 2 (2026)

Which version of Ocarina of Time is your favorite? 🗡️✨

#zelda #nintendo","Three generations. One legendary adventure. 💚

🎮 N64 (1998)
🎮 3DS (2011)
🎮 Switch 2 (2026)

Which version of Ocarina of Time is your favorite? 🗡️✨

#zelda #nintendo",2026-06-10 03:40:11,70,9,5,"{""j’aime"": 51, ""j’adore"": 18, ""solidaire"": 1}",,[],https://www.facebook.com/hotheadgm/posts/pfbid02c1LmpDLw4FgFCmgMWDTzMiBq8djy3P6KH7cgDKWfdGkZv3VBvmKHdzCyJELHKEVGl,https://www.facebook.com/100047012445726/posts/1524702519106815,True
1524699769107090,,,,,,,,,,,[],https://www.facebook.com/photo/?fbid=1524699769107090&set=a.779328320310909,https://www.facebook.com/photo/?fbid=1524699769107090&set=a.779328320310909,True
950346778003117,,100090834091825,#thelegendofzelda #zelda #videogames,#thelegendofzelda #zelda #videogames,2026-06-10 03:56:40,30,0,0,"{""j’aime"": 20, ""haha"": 8, ""j’adore"": 2}",https://scontent-cdg6-1.xx.fbcdn.net/v/t15.5256-10/721208924_970951689079566_2067702218579794703_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=106&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeGvf5HpbUXlpfeuuh8DJwS6hc89bV3hiMiFzz1tXeGIyJ_kDyYM7nPS1YzP25P8syp2YH6uiDU_hQvuiJCDS5xT&_nc_ohc=cGZWHCA45NAQ7kNvwGOEvc7&_nc_oc=AdpP383WAkxrBtJGhp4xflVvheKb7L_L_AFl9PNMKMhP7tHLpjKbpMDb5mv3pPuZH9o&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af9Ejf9HLAvOuMTBl7eVcOSilldKpFPCoXRSk2OejublTQ&oe=6A2F0C29,"[""https://scontent-cdg6-1.xx.fbcdn.net/v/t15.5256-10/721208924_970951689079566_2067702218579794703_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=106&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeGvf5HpbUXlpfeuuh8DJwS6hc89bV3hiMiFzz1tXeGIyJ_kDyYM7nPS1YzP25P8syp2YH6uiDU_hQvuiJCDS5xT&_nc_ohc=cGZWHCA45NAQ7kNvwGOEvc7&_nc_oc=AdpP383WAkxrBtJGhp4xflVvheKb7L_L_AFl9PNMKMhP7tHLpjKbpMDb5mv3pPuZH9o&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af9Ejf9HLAvOuMTBl7eVcOSilldKpFPCoXRSk2OejublTQ&oe=6A2F0C29""]",https://www.facebook.com/reel/1342304694525900/,https://www.facebook.com/100090834091825/posts/950346778003117,True
1036954508898376,,100077515081815,Zelda Ocarina of Time Remake coming to Switch🔥🛡️ #zelda #nintendodirect,Zelda Ocarina of Time Remake coming to Switch🔥🛡️ #zelda #nintendodirect,2026-06-09 15:40:43,10,0,1,"{""j’aime"": 10}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/719031785_2398208910646671_1349117681317710151_n.jpg?stp=dst-jpg_tt6&cstp=mx720x1280&ctp=s960x960&_nc_cat=108&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeF0x2ArZwdHHsybgvbA34Bh8Bmozax6A2jwGajNrHoDaGOyAFCn8l5M30CpiqNoW1XQTzY-3lQPHf9DaurY4mcA&_nc_ohc=6gZrplwLDhMQ7kNvwGW8kMr&_nc_oc=AdqFPeoveV29Zj8d51_j6U0mqh8MZBOeLsNoYQ2h1Xo3k5U8HYH2FBThdjE8lQ6833s&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af8--uhadXXA4d3VtipMJWDoK8QJvrfCCkd6cXlpJQpHPw&oe=6A2EE78E,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/719031785_2398208910646671_1349117681317710151_n.jpg?stp=dst-jpg_tt6&cstp=mx720x1280&ctp=s960x960&_nc_cat=108&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeF0x2ArZwdHHsybgvbA34Bh8Bmozax6A2jwGajNrHoDaGOyAFCn8l5M30CpiqNoW1XQTzY-3lQPHf9DaurY4mcA&_nc_ohc=6gZrplwLDhMQ7kNvwGW8kMr&_nc_oc=AdqFPeoveV29Zj8d51_j6U0mqh8MZBOeLsNoYQ2h1Xo3k5U8HYH2FBThdjE8lQ6833s&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af8--uhadXXA4d3VtipMJWDoK8QJvrfCCkd6cXlpJQpHPw&oe=6A2EE78E""]",https://www.facebook.com/reel/1024385806773959/,https://www.facebook.com/100077515081815/posts/1036954508898376,True
122127060783195361,,61585860850507,LES RUMEURS ÉTAIENT VRAIS GANG!! 🤩🤩 #ocarinaoftime #zelda,LES RUMEURS ÉTAIENT VRAIS GANG!! 🤩🤩 #ocarinaoftime #zelda,2026-06-09 16:53:42,13,1,0,"{""j’aime"": 8, ""j’adore"": 5}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/718160310_1391212526398710_2319069632294409161_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=110&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeELjeaPRHe8z6jcIddpGxfetCbKYMJAfqW0JspgwkB-pUFQvsrzWgR9FHKUEa7c96ImEIQELup7sNheTBiCQeJB&_nc_ohc=Qi5SBYEY4B4Q7kNvwE4eHPz&_nc_oc=AdriNB30eHRT53CoqV42f_ySQbRCIZtZB0nOErJf2_vBUBVcLTmrqrgdUdE7YBKrHWQ&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af9WW1T39yBk04lKS1kkCrb6tNBUVpbOGTAvTjlARLI68A&oe=6A2F17A0,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/718160310_1391212526398710_2319069632294409161_n.jpg?stp=dst-jpg_tt6&cstp=mx1080x1920&ctp=s960x960&_nc_cat=110&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeELjeaPRHe8z6jcIddpGxfetCbKYMJAfqW0JspgwkB-pUFQvsrzWgR9FHKUEa7c96ImEIQELup7sNheTBiCQeJB&_nc_ohc=Qi5SBYEY4B4Q7kNvwE4eHPz&_nc_oc=AdriNB30eHRT53CoqV42f_ySQbRCIZtZB0nOErJf2_vBUBVcLTmrqrgdUdE7YBKrHWQ&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af9WW1T39yBk04lKS1kkCrb6tNBUVpbOGTAvTjlARLI68A&oe=6A2F17A0""]",https://www.facebook.com/reel/1977368106316809/,https://www.facebook.com/61585860850507/posts/122127060783195361,True
1490373588932428,,100014560387749,"The Legend of Zelda Ocarina of Time is getting a remake on switch , gotta get it 
#zelda #legendofzeldaocarinaoftime","The Legend of Zelda Ocarina of Time is getting a remake on switch , gotta get it 
#zelda #legendofzeldaocarinaoftime",2026-06-10 06:56:55,1,0,0,"{""j’adore"": 1}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/721168807_970600145584812_7378972954158442033_n.jpg?stp=dst-jpg_tt6&cstp=mx1920x1080&ctp=s960x960&_nc_cat=1&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeGoXsnQVgxlKv5Grslrov8fbFDAXeJrTXZsUMBd4mtNdrZCRzTOi0dOai3jQcDuaDmDq0gBYN-m-zvURAKvundT&_nc_ohc=QMHGooLVpSEQ7kNvwEx8Hbe&_nc_oc=Adr_G-6kpvYts8GPOB9MB7CNHXjM8LXvN9pYDYGTn_s9HB0t8p9IVo9csuZNTDLeW0U&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af-6_nJqaRN29YBTBoWisjNENNkd2jXePKmeX3-iFlr7gw&oe=6A2EFA5C,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/721168807_970600145584812_7378972954158442033_n.jpg?stp=dst-jpg_tt6&cstp=mx1920x1080&ctp=s960x960&_nc_cat=1&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeGoXsnQVgxlKv5Grslrov8fbFDAXeJrTXZsUMBd4mtNdrZCRzTOi0dOai3jQcDuaDmDq0gBYN-m-zvURAKvundT&_nc_ohc=QMHGooLVpSEQ7kNvwEx8Hbe&_nc_oc=Adr_G-6kpvYts8GPOB9MB7CNHXjM8LXvN9pYDYGTn_s9HB0t8p9IVo9csuZNTDLeW0U&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=la_zHqBmuWjm5-6DpMJwQg&_nc_ss=7b2a8&oh=00_Af-6_nJqaRN29YBTBoWisjNENNkd2jXePKmeX3-iFlr7gw&oe=6A2EFA5C""]",https://www.facebook.com/groups/969667584336367/permalink/1490373588932428/,https://www.facebook.com/100014560387749/posts/1490373588932428,True
1569477457879127,,100044506623326,,,2026-06-09 15:03:14,,,,,,[],https://www.facebook.com/reel/2073602036927811/,https://www.facebook.com/100044506623326/posts/1569477457879127,True
26336643966009690,,100080451191067,"Started a fresh file of #zelda #tearsofthekingdom on the #Switch2

lets do stuff
#nintendo","Started a fresh file of #zelda #tearsofthekingdom on the #Switch2

lets do stuff
#nintendo",2026-06-10 02:09:44,17,147,4,"{""j’aime"": 15, ""j’adore"": 2}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/719222952_2279928606162301_4126139564638044191_n.jpg?stp=dst-jpg_tt6&cstp=mx1920x1080&ctp=s526x296&_nc_cat=102&ccb=1-7&_nc_sid=032300&_nc_eui2=AeG4z6CPT8fb5iNB8hJjYa_Pm_8A7M3dPYib_wDszd09iGOCmUJE7DRr2LaCJS6CWNzNwtOrWK9isB7-9l_h6M_g&_nc_ohc=pNcoTjp_WQ0Q7kNvwGn51DE&_nc_oc=AdrI-IahVWwOM-hfAw5_rKRxI6c56vsFXD9gLHTFXSVYBmWkCS64eb7koZekXwmQpTo&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=tFtYgrkVbZWQ7vNk8IKCqw&_nc_ss=7b2a8&oh=00_Af_lsFBCmIYzX0soc849VvbB1CrXKdzp7IsTHAMAaFjO4A&oe=6A2EEEB8,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/719222952_2279928606162301_4126139564638044191_n.jpg?stp=dst-jpg_tt6&cstp=mx1920x1080&ctp=s526x296&_nc_cat=102&ccb=1-7&_nc_sid=032300&_nc_eui2=AeG4z6CPT8fb5iNB8hJjYa_Pm_8A7M3dPYib_wDszd09iGOCmUJE7DRr2LaCJS6CWNzNwtOrWK9isB7-9l_h6M_g&_nc_ohc=pNcoTjp_WQ0Q7kNvwGn51DE&_nc_oc=AdrI-IahVWwOM-hfAw5_rKRxI6c56vsFXD9gLHTFXSVYBmWkCS64eb7koZekXwmQpTo&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=tFtYgrkVbZWQ7vNk8IKCqw&_nc_ss=7b2a8&oh=00_Af_lsFBCmIYzX0soc849VvbB1CrXKdzp7IsTHAMAaFjO4A&oe=6A2EEEB8"", ""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/719222952_2279928606162301_4126139564638044191_n.jpg?stp=dst-jpg_tt6&cstp=mx1920x1080&ctp=s960x960&_nc_cat=102&ccb=1-7&_nc_sid=50ce42&_nc_eui2=AeG4z6CPT8fb5iNB8hJjYa_Pm_8A7M3dPYib_wDszd09iGOCmUJE7DRr2LaCJS6CWNzNwtOrWK9isB7-9l_h6M_g&_nc_ohc=pNcoTjp_WQ0Q7kNvwGn51DE&_nc_oc=AdrI-IahVWwOM-hfAw5_rKRxI6c56vsFXD9gLHTFXSVYBmWkCS64eb7koZekXwmQpTo&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=tFtYgrkVbZWQ7vNk8IKCqw&_nc_ss=7b2a8&oh=00_Af_lsFBCmIYzX0soc849VvbB1CrXKdzp7IsTHAMAaFjO4A&oe=6A2EEEB8""]",https://www.facebook.com/ElysiumXGaming/videos/26336643966009690/,https://www.facebook.com/100080451191067/posts/26336643966009690,True
1427068489453108,,100064499122411,"Tune in for the 50-mintue Nintendo Direct happening in mere minutes from now!

We will cover everything #Zelda related, so keep your eyes glued to the screen. 👀","Tune in for the 50-mintue Nintendo Direct happening in mere minutes from now!

We will cover everything #Zelda related, so keep your eyes glued to the screen. 👀",2026-06-09 13:45:12,115,12,10,"{""j’aime"": 90, ""j’adore"": 23, ""solidaire"": 1, ""wouah"": 1}",,[],https://www.facebook.com/zeldauniverse/posts/pfbid0b2SkH5fceRQQiNJ9sNGT3RQd2PZTAJrVi9JnVzsPVXFc74MR21Cjf9k93sY7q5G2l,https://www.facebook.com/100064499122411/posts/1427068489453108,True
