Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
Très fort,Fort,Fort,Très faible,Moyen,Moyen
Fort,Fort,Fort,Moyen,Moyen,Moyen
Fort,Fort,Fort,Moyen,Moyen,Fort
Très fort,Moyen,Moyen,Fort,Faible,Moyen
Très fort,Fort,Fort,Moyen,Moyen,Fort
Fort,Fort,Fort,Faible,Moyen,Moyen
Très fort,Moyen,Fort,Très faible,Moyen,Faible
Fort,Moyen,Fort,Moyen,Moyen,Moyen
Fort,Moyen,Fort,Très faible,Moyen,Faible
Fort,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Fort,Très fort,Moyen,Fort,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Très faible
Très fort,Très fort,Très fort,Très faible,Moyen,Moyen
Très fort,Fort,Très fort,Moyen,Fort,Faible
Très fort,Fort,Très fort,Très faible,Fort,Moyen
Très fort,Moyen,Moyen,Très faible,Faible,Très faible
Moyen,Fort,Très fort,Très faible,Moyen,Moyen
Fort,Fort,Moyen,Faible,Très faible,Moyen
Très fort,Fort,Très fort,Moyen,Moyen,Moyen
Fort,Moyen,Fort,Faible,Moyen,Faible
Très fort,Moyen,Moyen,Moyen,Moyen,Moyen
Fort,Faible,Moyen,Moyen,Très faible,Faible
Très fort,Moyen,Moyen,Fort,Moyen,Moyen
Très fort,Très fort,Très fort,Fort,Moyen,Très fort
Très fort,Fort,Très fort,Moyen,Moyen,Fort
Très fort,Moyen,Fort,Très faible,Moyen,Très faible
Fort,Faible,Moyen,Moyen,Très faible,Faible
Très fort,Faible,Moyen,Très faible,Très faible,Faible
Moyen,Très fort,Très fort,Moyen,Fort,Fort
Très fort,Moyen,Moyen,Moyen,Moyen,Faible
Très fort,Moyen,Très fort,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Moyen,Faible,Faible
Très fort,Moyen,Moyen,Très faible,Faible,Très faible
Très fort,Moyen,Fort,Fort,Très faible,Moyen
Moyen,Moyen,Moyen,Très faible,Très faible,Très faible
Faible,Fort,Très fort,Faible,Moyen,Très faible
Très fort,Moyen,Fort,Moyen,Faible,Moyen
Très fort,Très fort,Très fort,Moyen,Fort,Faible
Moyen,Très fort,Très fort,Très faible,Fort,Très faible
Très fort,Faible,Faible,Très fort,Très faible,Moyen
Très fort,Moyen,Moyen,Fort,Moyen,Fort
Très fort,Moyen,Fort,Moyen,Moyen,Moyen
Très fort,Fort,Très fort,Très faible,Fort,Très faible
Faible,Très fort,Très fort,Faible,Fort,Très faible
Fort,Fort,Très fort,Faible,Moyen,Très faible
Fort,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Très fort,Très fort,Moyen,Fort,Moyen
Très fort,Très fort,Très fort,Fort,Très fort,Fort
Très fort,Fort,Très fort,Faible,Fort,Moyen
Moyen,Très fort,Très fort,Moyen,Très fort,Moyen
Fort,Moyen,Moyen,Moyen,Faible,Moyen
Moyen,Moyen,Fort,Très faible,Moyen,Très faible
Très fort,Moyen,Fort,Faible,Moyen,Moyen
Très faible,Très fort,Très fort,Faible,Fort,Très faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Fort,Moyen,Fort,Moyen,Moyen,Moyen
Moyen,Très fort,Très fort,Moyen,Très fort,Moyen
